/db1/myserver/mariadb/mariadb_files/bin/mariadbd, Version: 10.11.14-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/run/mysql.sock
Time		    Id Command	Argument
		     5 Quit	
/db1/myserver/mariadb/mariadb_files/bin/mariadbd, Version: 10.11.14-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/run/mysql.sock
Time		    Id Command	Argument
/db1/myserver/mariadb/mariadb_files/bin/mariadbd, Version: 10.11.14-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/run/mysql.sock
Time		    Id Command	Argument
260225  3:57:16	     3 Connect	root@localhost on  using Socket
		     3 Quit	
/db1/myserver/mariadb/mariadb_files/bin/mariadbd, Version: 10.11.14-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/run/mysql.sock
Time		    Id Command	Argument
260225 20:23:12	     3 Connect	root@localhost on  using Socket
		     3 Quit	
260226  0:15:02	     4 Connect	root@localhost on  using Socket
		     4 Query	/*!40100 SET @@SQL_MODE='' */
		     4 Query	/*!40103 SET TIME_ZONE='+00:00' */
		     4 Query	/*M!100100 SET @@MAX_STATEMENT_TIME=0.000000 */
		     4 Query	/*M!100100 SET WAIT_TIMEOUT=DEFAULT */
		     4 Query	set optimizer_switch='semijoin=off'
		     4 Query	SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME
		     4 Query	SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME
		     4 Query	set optimizer_switch=default
		     4 Query	SHOW DATABASES
		     4 Init DB	mysql
		     4 Query	SHOW CREATE DATABASE IF NOT EXISTS `mysql`
		     4 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'general_log'
		     4 Query	SET SQL_QUOTE_SHOW_CREATE=1
		     4 Query	SET SESSION character_set_results = 'binary'
		     4 Query	show create table `general_log`
		     4 Query	SET SESSION character_set_results = 'utf8mb4'
		     4 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='general_log' order by ordinal_position
		     4 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'slow_log'
		     4 Query	SET SQL_QUOTE_SHOW_CREATE=1
		     4 Query	SET SESSION character_set_results = 'binary'
		     4 Query	show create table `slow_log`
		     4 Query	SET SESSION character_set_results = 'utf8mb4'
		     4 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='slow_log' order by ordinal_position
		     4 Query	SHOW FULL TABLES
		     4 Query	LOCK TABLES `column_stats` READ /*!32311 LOCAL */,`columns_priv` READ /*!32311 LOCAL */,`db` READ /*!32311 LOCAL */,`event` READ /*!32311 LOCAL */,`func` READ /*!32311 LOCAL */,`global_priv` READ /*!32311 LOCAL */,`gtid_slave_pos` READ /*!32311 LOCAL */,`help_category` READ /*!32311 LOCAL */,`help_keyword` READ /*!32311 LOCAL */,`help_relation` READ /*!32311 LOCAL */,`help_topic` READ /*!32311 LOCAL */,`index_stats` READ /*!32311 LOCAL */,`innodb_index_stats` READ /*!32311 LOCAL */,`innodb_table_stats` READ /*!32311 LOCAL */,`plugin` READ /*!32311 LOCAL */,`proc` READ /*!32311 LOCAL */,`procs_priv` READ /*!32311 LOCAL */,`proxies_priv` READ /*!32311 LOCAL */,`roles_mapping` READ /*!32311 LOCAL */,`servers` READ /*!32311 LOCAL */,`table_stats` READ /*!32311 LOCAL */,`tables_priv` READ /*!32311 LOCAL */,`time_zone` READ /*!32311 LOCAL */,`time_zone_leap_second` READ /*!32311 LOCAL */,`time_zone_name` READ /*!32311 LOCAL */,`time_zone_transition` READ /*!32311 LOCAL */,`time_zone_transition_type` READ /*!32311 LOCAL */,`user` READ /*!32311 LOCAL */
		     4 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'column_stats'
